# Serie temporal de la incertidumbre de navegacion del filtro.
t_s,sigma_nav_m,time_since_fix_s
1224,31.91943175,104
1227,31.92577075,107
1230,31.93136938,110
1233,31.93689579,113
1236,31.94277767,116
1239,31.94925621,119
1242,31.95643221,122
1245,31.96430555,125
1248,31.97280432,128
1251,31.98181093,131
1254,31.9911827,134
1257,32.00076596,137
1260,32.01040801,140
1263,32.019965,143
1266,32.02930852,146
1269,32.03832734,149
1272,32.04693076,152
1275,32.05504762,155
1278,32.06262625,158
1281,32.06963324,161
1284,32.07605124,164
1287,32.08187737,167
1290,32.08712002,170
1293,32.09179852,173
1296,32.09593872,176
1299,32.09957268,179
1302,32.10273655,182
1305,32.10546919,185
1308,32.10780974,188
1311,32.1097978,191
1314,32.11147253,194
1317,32.11287073,197
1320,32.11402744,200
1323,32.11497587,203
1326,32.11574535,206
1329,32.11636302,209
1332,32.11685328,212
1335,32.11723797,215
1338,32.11753558,218
1341,32.11776251,221
1344,32.11793283,224
1347,32.11805837,227
1350,32.11814933,230
1353,32.11821369,233
1356,32.11825838,236
1359,32.11828893,239
1362,32.11830921,242
1365,32.11832295,245
1368,32.11833269,248
1371,32.11834028,251
1374,32.11834662,254
1377,32.1183533,257
1380,32.11836059,260
1383,32.11836871,263
1386,32.11837775,266
1389,32.11838818,269
1392,32.11839929,272
1395,32.11841156,275
1398,32.1184243,278
1401,32.11843701,281
1404,32.11845024,284
1407,32.11846353,287
1410,32.11847584,290
1413,32.11848819,293
1416,32.11850002,296
1419,32.1185108,299
1422,8.021055399,0
1425,6.071732082,0
1428,5.329123603,0
1431,4.995235496,0
1434,4.836947295,0
1437,4.760327486,0
1440,4.72289959,0
1443,4.704538804,0
1446,4.695512773,0
1449,4.691071477,0
1452,4.68888494,0
1455,4.687808193,0
1458,4.687278136,0
1461,4.687016922,0
1464,4.686888266,0
1467,4.686824991,0
1470,4.686793753,0
1473,4.686778389,0
1476,4.686770632,0
1479,4.686767059,0
1482,5.595597358,2
1485,6.501180183,5
1488,7.504226573,8
1491,8.64943205,11
1494,9.945733635,14
1497,11.37910999,17
1500,12.92183118,20
1503,14.53907153,23
1506,16.19368195,26
1509,17.84961013,29
1512,19.47409915,32
1515,21.03878113,35
1518,22.51998923,38
1521,23.89875942,41
1524,25.16085,44
1527,26.29685286,47
1530,27.30225321,50
1533,28.17725561,53
1536,28.9262851,56
1539,29.5571934,59
1542,30.08029668,62
1545,30.50738751,65
1548,30.85084299,68
1551,31.1229037,71
1554,31.33514781,74
1557,31.49815528,77
1560,31.621324,80
1563,31.71281131,83
1566,31.77955554,86
1569,31.82735421,89
1572,31.86096994,92
1575,31.88425281,95
1578,31.90026186,98
1581,31.91138224,101
1584,31.91943491,104
1587,31.92577341,107
1590,31.93137218,110
1593,31.93689862,113
1596,31.94278093,116
1599,31.9492597,119
1602,31.95643609,122
1605,31.96430919,125
1608,31.97280774,128
1611,31.98181448,131
1614,31.99118624,134
1617,32.00076933,137
1620,32.01041113,140
1623,32.01996826,143
1626,32.02931162,146
1629,32.0383303,149
1632,32.04693364,152
1635,32.05505009,155
1638,32.06262866,158
1641,32.0696356,161
1644,32.0760538,164
1647,32.08187984,167
1650,32.08712276,170
1653,32.09180101,173
1656,32.09594107,176
1659,32.09957521,179
1662,32.10273918,182
1665,32.10547179,185
1668,32.10781249,188
1671,32.10980104,191
1674,32.11147565,194
1677,32.11287388,197
1680,32.1140309,200
1683,32.11497928,203
1686,32.11574863,206
1689,32.11636613,209
1692,32.11685651,212
1695,32.11724101,215
1698,32.11753863,218
1701,32.11776546,221
1704,32.1179355,224
1707,32.11806075,227
1710,32.11815157,230
1713,32.11821591,233
1716,32.11826063,236
1719,32.11829113,239
1722,32.11831147,242
1725,32.11832516,245
1728,32.11833492,248
1731,32.1183425,251
1734,32.11834903,254
1737,32.11835591,257
1740,32.11836331,260
1743,32.11837156,263
1746,32.11838091,266
1749,32.11839166,269
1752,32.11840285,272
1755,32.11841496,275
1758,32.11842744,278
1761,32.11844009,281
1764,32.11845304,284
1767,32.11846608,287
1770,32.11847872,290
1773,32.11849094,293
1776,32.1185025,296
1779,32.1185136,299
1782,8.021055212,0
1785,6.071732042,0
1788,5.329123848,0
1791,4.995235593,0
1794,4.836947453,0
1797,4.760327795,0
1800,4.722899636,0
1803,4.704538692,0
1806,4.69551271,0
1809,4.691071531,0
1812,4.688885158,0
1815,4.687808265,0
1818,4.687277872,0
1821,4.687016771,0
1824,4.686888249,0
1827,4.686824876,0
1830,4.686793627,0
1833,4.686778339,0
1836,4.686770604,0
1839,4.686766956,0
1842,5.595597807,2
1845,6.501180896,5
1848,7.504227209,8
1851,8.649433,11
1854,9.945734256,14
1857,11.37911058,17
1860,12.92183184,20
1863,14.53907227,23
1866,16.19368315,26
1869,17.84961145,29
1872,19.4741012,32
1875,21.03878316,35
1878,22.51999148,38
1881,23.89876181,41
1884,25.16085226,44
1887,26.29685525,47
1890,27.30225583,50
1893,28.17725862,53
1896,28.92628795,56
1899,29.5571963,59
1902,30.08029976,62
1905,30.50739061,65
1908,30.85084608,68
1911,31.12290642,71
1914,31.33515038,74
1917,31.49815766,77
1920,31.62132632,80
1923,31.71281343,83
1926,31.77955767,86
1929,31.8273559,89
1932,31.86097199,92
1935,31.88425504,95
1938,31.90026409,98
1941,31.91138439,101
1944,31.91943726,104
1947,31.92577598,107
1950,31.93137459,110
1953,31.93690123,113
1956,31.94278317,116
1959,31.94926189,119
1962,31.95643839,122
1965,31.96431191,125
1968,31.97281082,128
1971,31.9818176,131
1974,31.99118919,134
1977,32.0007723,137
1980,32.01041396,140
1983,32.01997108,143
1986,32.02931465,146
1989,32.03833328,149
1992,32.04693663,152
1995,32.05505334,155
1998,32.06263201,158
2001,32.06963886,161
2004,32.07605667,164
2007,32.08188263,167
2010,32.08712543,170
2013,32.09180372,173
2016,32.09594364,176
2019,32.0995777,179
2022,32.10274173,182
2025,32.10547423,185
2028,32.10781503,188
2031,32.10980325,191
2034,32.11147786,194
2037,32.11287629,197
2040,32.11403313,200
2043,32.11498114,203
2046,32.11575056,206
2049,32.11636826,209
2052,32.11685858,212
2055,32.11724322,215
2058,32.11754081,218
2061,32.11776763,221
2064,32.11793784,224
2067,32.11806344,227
2070,32.11815432,230
2073,32.11821879,233
2076,32.1182633,236
2079,32.11829355,239
2082,32.11831409,242
2085,32.11832765,245
2088,32.11833703,248
2091,32.11834424,251
2094,32.11835093,254
2097,32.11835759,257
2100,32.118365,260
2103,32.11837351,263
2106,32.11838281,266
2109,32.11839315,269
2112,32.11840446,272
2115,32.11841655,275
2118,32.11842925,278
2121,32.11844223,281
2124,32.11845494,284
2127,32.11846771,287
2130,32.11848031,290
2133,32.11849266,293
2136,32.11850448,296
2139,32.11851521,299
2142,8.021055164,0
2145,6.071731808,0
2148,5.329123672,0
2151,4.995235529,0
2154,4.836947508,0
2157,4.760327505,0
2160,4.722899535,0
2163,4.704538524,0
2166,4.69551295,0
2169,4.691071525,0
2172,4.68888518,0
2175,4.687808515,0
2178,4.687278046,0
2181,4.687017009,0
2184,4.686888251,0
2187,4.686824809,0
2190,4.686793751,0
2193,4.686778364,0
2196,4.686770842,0
2199,4.686767296,0
2202,5.595597823,2
2205,6.501180782,5
2208,7.504227491,8
2211,8.649433245,11
2214,9.945734726,14
2217,11.37911139,17
2220,12.92183299,20
2223,14.53907355,23
2226,16.19368429,26
2229,17.84961255,29
2232,19.47410194,32
2235,21.03878412,35
2238,22.51999265,38
2241,23.898763,41
2244,25.16085356,44
2247,26.29685635,47
2250,27.30225688,50
2253,28.17725975,53
2256,28.92628914,56
2259,29.55719787,59
2262,30.08030138,62
2265,30.50739233,65
2268,30.85084775,68
2271,31.12290782,71
2274,31.33515201,74
2277,31.49815912,77
2280,31.62132797,80
2283,31.71281531,83
2286,31.7795593,86
2289,31.82735772,89
2292,31.86097361,92
2295,31.884257,95
2298,31.90026607,98
2301,31.91138636,101
2304,31.91943892,104
2307,31.92577759,107
2310,31.93137618,110
2313,31.93690288,113
2316,31.94278483,116
2319,31.94926351,119
2322,31.9564399,122
2325,31.9643133,125
2328,31.97281178,128
2331,31.98181874,131
2334,31.99119034,134
2337,32.00077339,137
2340,32.01041529,140
2343,32.01997231,143
2346,32.02931562,146
2349,32.03833435,149
2352,32.0469375,152
2355,32.05505419,155
2358,32.06263277,158
2361,32.06963981,161
2364,32.07605761,164
2367,32.08188344,167
2370,32.08712614,170
2373,32.09180442,173
2376,32.09594437,176
2379,32.09957817,179
2382,32.1027423,182
2385,32.1054748,185
2388,32.10781531,188
2391,32.10980375,191
2394,32.11147861,194
2397,32.11287684,197
2400,32.11403386,200
2403,32.11498223,203
2406,32.11575169,206
2409,32.11636934,209
2412,32.11685961,212
2415,32.11724397,215
2418,32.11754149,218
2421,32.11776844,221
2424,32.11793853,224
2427,32.11806408,227
2430,32.11815489,230
2433,32.11821947,233
2436,32.11826409,236
2439,32.11829447,239
2442,32.11831468,242
2445,32.11832827,245
2448,32.11833775,248
2451,32.11834512,251
2454,32.11835172,254
2457,32.1183583,257
2460,32.11836578,260
2463,32.11837395,263
2466,32.11838341,266
2469,32.11839377,269
2472,32.11840486,272
2475,32.11841696,275
2478,32.11842965,278
2481,32.11844259,281
2484,32.11845556,284
2487,32.11846842,287
2490,32.1184809,290
2493,32.11849314,293
2496,32.11850494,296
2499,32.1185159,299
2502,8.021054606,0
