# Serie temporal de la incertidumbre de navegacion del filtro.
t_s,sigma_nav_m,time_since_fix_s
3861,32.11775254,221
3864,32.1179224,224
3867,32.11804814,227
3870,32.11813876,230
3873,32.11820309,233
3876,32.11824783,236
3879,32.11827836,239
3882,32.1182986,242
3885,32.11831228,245
3888,32.11832218,248
3891,32.11832971,251
3894,32.11833628,254
3897,32.11834263,257
3900,32.11834993,260
3903,32.11835833,263
3906,32.11836754,266
3909,32.11837777,269
3912,32.11838871,272
3915,32.1184006,275
3918,32.11841305,278
3921,32.11842591,281
3924,32.118439,284
3927,32.11845185,287
3930,32.1184644,290
3933,32.11847668,293
3936,32.11848849,296
3939,32.11849947,299
3942,8.0210554,0
3945,6.071731968,0
3948,5.329123937,0
3951,4.99523551,0
3954,4.836947453,0
3957,4.760327621,0
3960,4.722899769,0
3963,4.704538585,0
3966,4.695512624,0
3969,4.691071487,0
3972,4.688885126,0
3975,4.687808249,0
3978,4.68727809,0
3981,4.687016899,0
3984,4.686888059,0
3987,4.686825045,0
3990,4.686793854,0
3993,4.686778339,0
3996,4.686770588,0
3999,4.686767136,0
