# Radio de exclusion inflado d0 + k*sigma a lo largo del horizonte, con la covarianza propagada de dos maneras. Tres particiones del mismo horizonte.
case,step_h_s,t_into_horizon_s,radius_perstep_m,radius_vanloan_m
3,4,8,154.5341373,154.6329269
3,4,12,154.5584214,154.7386116
3,4,16,154.5940849,154.8903267
3,4,20,154.645001,155.0990378
3,4,24,154.7147496,155.3724038
3,4,28,154.8065067,155.7145878
3,4,32,154.9229427,156.1265952
3,4,36,155.0661466,156.6069885
3,4,40,155.2375891,157.1527273
3,4,44,155.4381303,157.7599234
3,4,48,155.6680694,158.424406
3,4,52,155.9272244,159.142086
3,4,56,156.2150303,159.9091563
3,4,60,156.5306393,160.7221806
3,4,64,156.8730152,161.5781122
3,4,68,157.2410131,162.4742761
3,4,72,157.6334428,163.408334
3,4,76,158.0491167,164.3782426
3,4,80,158.486882,165.3822138
3,4,84,158.9456421,166.4186772
3,4,88,159.4243687,167.4862475
3,4,92,159.9221071,168.583697
3,4,96,160.4379773,169.7099319
3,4,100,160.9711719,170.863972
3,4,104,161.5209526,172.0449352
3,4,108,162.0866447,173.2520225
3,4,112,162.6676328,174.4845077
3,4,116,163.2633547,175.7417268
3,4,120,163.8732966,177.0230703
3,4,124,164.4969886,178.3279765
3,4,128,165.1339997,179.6559255
3,4,132,165.7839343,181.0064343
3,4,136,166.4464279,182.3790528
3,4,140,167.1211447,183.7733603
3,4,144,167.807774,185.1889619
3,4,148,168.5060278,186.6254866
3,4,152,169.2156386,188.0825843
3,4,156,169.9363575,189.5599243
3,4,160,170.6679518,191.0571932
3,4,164,171.4102042,192.5740936
3,4,168,172.1629109,194.1103427
3,4,172,172.9258803,195.6656708
3,4,176,173.6989322,197.2398209
3,4,180,174.4818966,198.8325469
3,4,184,175.2746126,200.4436136
3,4,188,176.0769282,202.072795
3,4,192,176.888699,203.7198747
3,4,196,177.709788,205.3846445
3,4,200,178.5400646,207.0669038
3,4,204,179.3794045,208.7664599
3,4,208,180.227689,210.4831265
3,4,212,181.0848048,212.2167241
3,4,216,181.9506431,213.9670793
3,4,220,182.8251,215.7340242
3,4,224,183.7080757,217.5173966
3,4,228,184.5994743,219.3170393
3,4,232,185.4992037,221.1327999
3,4,236,186.407175,222.9645308
3,4,240,187.3233028,224.8120887
3,4,244,188.2475047,226.6753344
3,4,248,189.179701,228.5541328
3,4,252,190.1198149,230.4483523
3,4,256,191.0677719,232.3578653
3,4,260,192.0235002,234.2825472
3,4,264,192.98693,236.2222772
3,4,268,193.9579939,238.1769372
3,4,272,194.9366264,240.1464124
3,4,276,195.9227639,242.1305906
3,4,280,196.9163448,244.1293629
3,4,284,197.9173092,246.1426224
3,4,288,198.9255988,248.1702654
3,4,292,199.9411569,250.2121902
3,4,296,200.9639286,252.2682977
3,4,300,201.99386,254.3384912
3,4,304,203.0308991,256.4226758
3,4,308,204.0749948,258.5207593
3,4,312,205.1260975,260.6326511
3,4,316,206.184159,262.7582627
3,4,320,207.2491318,264.8975078
3,4,324,208.3209702,267.0503016
3,4,328,209.3996289,269.2165613
3,4,332,210.4850642,271.3962058
3,4,336,211.5772333,273.5891558
3,4,340,212.676094,275.7953335
3,4,344,213.7816057,278.0146628
3,4,348,214.8937281,280.247069
3,4,352,216.0124222,282.4924792
3,4,356,217.1376497,284.7508217
3,4,360,218.2693731,287.0220263
3,4,364,219.4075558,289.3060243
3,4,368,220.5521619,291.6027481
3,4,372,221.7031563,293.9121318
3,4,376,222.8605047,296.2341105
3,4,380,224.0241734,298.5686205
3,4,384,225.1941293,300.9155996
3,4,388,226.3703403,303.2749866
3,4,392,227.5527747,305.6467214
3,4,396,228.7414015,308.0307453
3,4,400,229.9361903,310.4270005
3,4,404,231.1371113,312.8354304
3,4,408,232.3441354,315.2559793
3,4,412,233.557234,317.6885927
3,4,416,234.7763791,320.1332171
3,4,420,236.0015431,322.5897999
3,4,424,237.2326992,325.0582897
3,4,428,238.4698208,327.5386357
3,4,432,239.7128821,330.0307885
3,4,436,240.9618577,332.5346991
3,4,440,242.2167227,335.0503199
3,4,444,243.4774526,337.5776039
3,4,448,244.7440234,340.116505
3,4,452,246.0164117,342.666978
3,4,456,247.2945945,345.2289785
3,4,460,248.5785491,347.8024631
3,4,464,249.8682533,350.387389
3,4,468,251.1636854,352.9837142
3,4,472,252.4648241,355.5913976
3,4,476,253.7716485,358.2103989
3,4,480,255.0841382,360.8406785
3,4,484,256.4022728,363.4821975
3,4,488,257.7260329,366.1349178
3,4,492,259.0553991,368.7988021
3,4,496,260.3903523,371.4738136
3,4,500,261.7308741,374.1599164
