# Un caso por fila. dv_ms es el impulso tangencial planificado (signo = sentido); sens_m_per_mms es la separacion abierta en el encuentro por mm/s aplicado un medio periodo antes.
sigma_nav_m,sigma_obj_m,dInc_deg,vrel_ms,bplane_angle_deg,miss0_m,sens_m_per_mms,d_target_m,dv_ms,converged
12,30,121.0715149,12514.93629,201.260639,241.4403921,3.556791001,215.8433763,0,1
12,100,121.0715149,12514.93629,201.260639,241.4403921,3.556791001,359.290606,0.01932921017,1
12,300,121.0715149,12514.93629,201.260639,241.4403921,3.556791001,775.1136055,0.06571722221,1
32.1,10,121.0715149,12514.93629,201.260639,241.4403921,3.556791001,209.3711679,0,1
32.1,30,121.0715149,12514.93629,201.260639,241.4403921,3.556791001,233.6336069,0,1
32.1,100,121.0715149,12514.93629,201.260639,241.4403921,3.556791001,365.5499658,0.02013141418,1
32.1,300,121.0715149,12514.93629,201.260639,241.4403921,3.556791001,777.2369965,0.06594019141,1
40,10,121.0715149,12514.93629,201.260639,241.4403921,3.556791001,222.3443542,0,1
40,30,121.0715149,12514.93629,201.260639,241.4403921,3.556791001,243.2917477,0.0004989996072,1
40,100,121.0715149,12514.93629,201.260639,241.4403921,3.556791001,369.4779209,0.02063052936,1
40,300,121.0715149,12514.93629,201.260639,241.4403921,3.556791001,778.5976613,0.06608304036,1
100,10,121.0715149,12514.93629,201.260639,241.4403921,3.556791001,324.4525883,0.0146725158,1
100,30,121.0715149,12514.93629,201.260639,241.4403921,3.556791001,334.1286241,0.01600397588,1
100,100,121.0715149,12514.93629,201.260639,241.4403921,3.556791001,420.8700016,0.02692124337,1
100,300,121.0715149,12514.93629,201.260639,241.4403921,3.556791001,798.3324917,0.06815240479,1
250,10,121.0715149,12514.93629,201.260639,241.4403921,3.556791001,583.5132127,0.04528150515,1
250,30,121.0715149,12514.93629,201.260639,241.4403921,3.556791001,587.4966859,0.04571511072,1
250,100,121.0715149,12514.93629,201.260639,241.4403921,3.556791001,630.4899143,0.05036516474,1
250,300,121.0715149,12514.93629,201.260639,241.4403921,3.556791001,910.1546025,0.0798037004,1
4.8,10,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,166.8799496,0,1
4.8,30,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,194.8490165,0,1
4.8,100,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,297.1407143,0.01655052417,1
4.8,300,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,590.7953586,0.1102586099,1
12,10,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,175.4521649,0,1
12,30,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,198.7269359,0,1
12,100,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,298.3686955,0.01724283397,1
12,300,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,591.2067862,0.1103661136,1
32.1,10,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,207.5068926,0,1
32.1,30,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,220.9474755,0,1
32.1,100,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,307.0748223,0.02181085131,1
32.1,300,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,594.2101509,0.1111502743,1
40,10,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,220.8224025,0,1
40,30,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,232.1115965,0,1
40,100,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,312.4231196,0.02438629477,1
40,300,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,596.129385,0.1116508272,1
100,10,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,323.8269619,0.02946539357,1
100,30,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,328.724129,0.03151283845,1
100,100,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,377.1151025,0.04923200687,1
100,300,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,623.5308102,0.1187537804,1
250,10,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,583.2618293,0.1082865478,1
250,30,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,585.2497149,0.1088075897,1
250,100,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,607.2540539,0.114544103,1
250,300,155.4373634,14045.08288,349.633565,275.8746961,0.7754583467,767.8441779,0.1551762032,1
4.8,10,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,164.8439436,0,1
4.8,30,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,187.8169799,0,1
4.8,100,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,273.2533419,0.001185903698,1
4.8,300,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,519.0115401,0.01547671708,1
12,10,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,174.1500034,0,1
