# Impulso necesario segun la antelacion con que se aplica.
lead_time_s,dv_required_ms,miss_m,Pc
3371.605463,0.05617663663,500.0053384,4.820804859e-14
6743.210925,-0.03011398992,499.9970168,6.561126279e-09
13486.42185,-0.01505708946,500.0021238,6.559360557e-09
20229.63278,-0.01003809629,500.0055449,6.558109432e-09
